">epoch=65, lrate=0.001, train_error=0.516, train_acc=0.704, test_error=0.638, test_acc=0.623"
">epoch=66, lrate=0.001, train_error=0.513, train_acc=0.706, test_error=0.641, test_acc=0.622"
">epoch=67, lrate=0.001, train_error=0.510, train_acc=0.706, test_error=0.645, test_acc=0.619"
">epoch=68, lrate=0.001, train_error=0.508, train_acc=0.708, test_error=0.650, test_acc=0.619"
">epoch=69, lrate=0.001, train_error=0.507, train_acc=0.710, test_error=0.661, test_acc=0.618"
">epoch=70, lrate=0.001, train_error=0.506, train_acc=0.712, test_error=0.666, test_acc=0.619"
">epoch=71, lrate=0.001, train_error=0.505, train_acc=0.713, test_error=0.670, test_acc=0.619"
">epoch=72, lrate=0.001, train_error=0.504, train_acc=0.713, test_error=0.672, test_acc=0.621"
">epoch=73, lrate=0.001, train_error=0.503, train_acc=0.713, test_error=0.676, test_acc=0.620"
">epoch=74, lrate=0.001, train_error=0.503, train_acc=0.713, test_error=0.680, test_acc=0.623"
">epoch=75, lrate=0.001, train_error=0.503, train_acc=0.715, test_error=0.684, test_acc=0.622"
">epoch=76, lrate=0.001, train_error=0.503, train_acc=0.715, test_error=0.684, test_acc=0.621"
">epoch=77, lrate=0.001, train_error=0.503, train_acc=0.715, test_error=0.687, test_acc=0.623"
">epoch=78, lrate=0.001, train_error=0.503, train_acc=0.717, test_error=0.688, test_acc=0.623"
">epoch=79, lrate=0.001, train_error=0.500, train_acc=0.719, test_error=0.676, test_acc=0.626"
">epoch=80, lrate=0.001, train_error=0.497, train_acc=0.720, test_error=0.676, test_acc=0.624"
">epoch=81, lrate=0.001, train_error=0.496, train_acc=0.722, test_error=0.674, test_acc=0.623"
">epoch=82, lrate=0.001, train_error=0.494, train_acc=0.724, test_error=0.670, test_acc=0.626"
">epoch=83, lrate=0.001, train_error=0.493, train_acc=0.726, test_error=0.667, test_acc=0.626"
">epoch=84, lrate=0.001, train_error=0.491, train_acc=0.727, test_error=0.663, test_acc=0.627"
">epoch=85, lrate=0.001, train_error=0.489, train_acc=0.728, test_error=0.661, test_acc=0.626"
">epoch=86, lrate=0.001, train_error=0.485, train_acc=0.732, test_error=0.657, test_acc=0.629"
">epoch=87, lrate=0.001, train_error=0.482, train_acc=0.733, test_error=0.655, test_acc=0.632"
">epoch=88, lrate=0.001, train_error=0.478, train_acc=0.733, test_error=0.651, test_acc=0.633"
">epoch=89, lrate=0.001, train_error=0.473, train_acc=0.737, test_error=0.645, test_acc=0.634"
">epoch=90, lrate=0.001, train_error=0.469, train_acc=0.739, test_error=0.643, test_acc=0.635"
">epoch=91, lrate=0.001, train_error=0.464, train_acc=0.743, test_error=0.643, test_acc=0.637"
">epoch=92, lrate=0.001, train_error=0.460, train_acc=0.745, test_error=0.643, test_acc=0.639"
">epoch=93, lrate=0.001, train_error=0.455, train_acc=0.747, test_error=0.642, test_acc=0.642"
">epoch=94, lrate=0.001, train_error=0.451, train_acc=0.750, test_error=0.642, test_acc=0.646"
">epoch=95, lrate=0.001, train_error=0.447, train_acc=0.754, test_error=0.641, test_acc=0.650"
">epoch=96, lrate=0.001, train_error=0.443, train_acc=0.756, test_error=0.639, test_acc=0.654"
">epoch=97, lrate=0.001, train_error=0.439, train_acc=0.761, test_error=0.634, test_acc=0.651"
">epoch=98, lrate=0.001, train_error=0.436, train_acc=0.763, test_error=0.633, test_acc=0.655"
">epoch=99, lrate=0.001, train_error=0.434, train_acc=0.764, test_error=0.632, test_acc=0.657"
">epoch=100, lrate=0.001, train_error=0.432, train_acc=0.765, test_error=0.629, test_acc=0.658"
">epoch=101, lrate=0.001, train_error=0.431, train_acc=0.766, test_error=0.625, test_acc=0.660"
">epoch=102, lrate=0.001, train_error=0.429, train_acc=0.766, test_error=0.622, test_acc=0.663"
">epoch=103, lrate=0.001, train_error=0.428, train_acc=0.766, test_error=0.619, test_acc=0.663"
">epoch=104, lrate=0.001, train_error=0.428, train_acc=0.765, test_error=0.616, test_acc=0.664"
">epoch=105, lrate=0.001, train_error=0.427, train_acc=0.765, test_error=0.614, test_acc=0.664"
